epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3938,3.21351,4.22437,3.9215,0.20236,0.02285,0.00057,0.0001,3.53007,4.93539,3.95799,0.000368004,0.000368004,0.000368004
2,181.216,2.46191,3.58916,2.99475,0.43981,0.07264,0.02114,0.00703,2.68049,4.61797,3.12352,0.000732246,0.000732246,0.000732246
3,270.705,2.07855,3.24758,2.55894,0.15809,0.10432,0.05781,0.01779,2.53764,3.74388,2.96389,0.00109038,0.00109038,0.00109038
4,359.968,1.91174,3.07314,2.3695,0.09618,0.10666,0.04084,0.01166,2.47468,3.4739,2.88206,0.0010835,0.0010835,0.0010835
5,449.705,1.80298,2.93886,2.25405,0.16612,0.13846,0.06775,0.0223,2.41269,3.33599,2.77986,0.00107434,0.00107434,0.00107434
6,538.719,1.71872,2.79999,2.1565,0.22009,0.14799,0.11389,0.04083,2.27703,3.05515,2.6889,0.00106517,0.00106517,0.00106517
7,627.675,1.66534,2.69459,2.08934,0.27333,0.22672,0.13901,0.05821,2.27125,3.16613,2.65948,0.00105601,0.00105601,0.00105601
8,716.81,1.61353,2.60394,2.0355,0.31229,0.20378,0.17413,0.06709,2.22806,3.01173,2.62012,0.00104684,0.00104684,0.00104684
9,806.147,1.57832,2.51178,1.99341,0.30421,0.2797,0.22814,0.09637,2.14206,2.65808,2.48582,0.00103767,0.00103767,0.00103767
10,895.642,1.55808,2.44281,1.96387,0.32725,0.28772,0.22404,0.09752,2.16238,2.85662,2.50226,0.00102851,0.00102851,0.00102851
11,985.097,1.52395,2.39157,1.93556,0.38181,0.20857,0.19419,0.07134,2.29825,2.79101,2.60699,0.00101934,0.00101934,0.00101934
12,1073.67,1.50134,2.33663,1.91058,0.36861,0.29592,0.27449,0.11596,2.15232,2.56747,2.43809,0.00101018,0.00101018,0.00101018
13,1162.41,1.48533,2.27337,1.88293,0.38794,0.32879,0.27728,0.10537,2.24792,2.56368,2.53842,0.00100101,0.00100101,0.00100101
14,1251.38,1.47687,2.23342,1.88343,0.4809,0.32804,0.32993,0.14796,2.07218,2.37409,2.35623,0.000991845,0.000991845,0.000991845
15,1340.83,1.44732,2.18598,1.83906,0.52046,0.39011,0.35895,0.14861,2.07745,2.32515,2.3616,0.000982679,0.000982679,0.000982679
16,1430.12,1.44757,2.14974,1.83093,0.4816,0.35766,0.34078,0.14731,2.10758,2.29311,2.38822,0.000973514,0.000973514,0.000973514
17,1519.51,1.43423,2.11823,1.81514,0.45857,0.35479,0.33255,0.15482,2.15027,2.33397,2.39005,0.000964348,0.000964348,0.000964348
18,1608.39,1.42979,2.10369,1.81302,0.51717,0.37497,0.3261,0.13828,2.19421,2.46191,2.46454,0.000955182,0.000955182,0.000955182
19,1697.26,1.40454,2.03065,1.78307,0.52032,0.3826,0.3775,0.14975,2.20159,2.2452,2.46276,0.000946016,0.000946016,0.000946016
20,1786.78,1.4101,2.00718,1.78301,0.56105,0.42283,0.42656,0.19239,2.05447,2.06522,2.3161,0.000936851,0.000936851,0.000936851
21,1875.68,1.39324,1.9745,1.76266,0.60099,0.41227,0.443,0.18847,2.0822,2.10135,2.30213,0.000927685,0.000927685,0.000927685
22,1964.67,1.37257,1.95126,1.754,0.54985,0.45726,0.4485,0.21847,1.95719,1.98484,2.19566,0.000918519,0.000918519,0.000918519
23,2054.07,1.36659,1.92921,1.73699,0.60275,0.43307,0.443,0.18485,2.07058,2.04381,2.31788,0.000909353,0.000909353,0.000909353
24,2143.33,1.35289,1.89414,1.72102,0.66923,0.42414,0.46988,0.21811,1.9805,2.00706,2.23418,0.000900188,0.000900188,0.000900188
25,2232.53,1.36117,1.87844,1.73152,0.69217,0.426,0.47823,0.22625,1.91388,1.92617,2.17277,0.000891022,0.000891022,0.000891022
26,2321.54,1.34104,1.84254,1.71079,0.70728,0.43688,0.48895,0.21403,2.00089,1.97878,2.21491,0.000881856,0.000881856,0.000881856
27,2410.84,1.34972,1.82285,1.71057,0.57294,0.46531,0.48341,0.21383,2.04969,1.90906,2.25766,0.000872691,0.000872691,0.000872691
28,2499.83,1.33095,1.80289,1.70013,0.67925,0.45979,0.50969,0.22943,1.9942,1.89279,2.22303,0.000863525,0.000863525,0.000863525
29,2588.9,1.32738,1.76916,1.68533,0.64527,0.43292,0.46955,0.20609,2.06342,1.98986,2.26193,0.000854359,0.000854359,0.000854359
30,2677.83,1.29785,1.72784,1.67411,0.72275,0.47867,0.55618,0.26715,1.91681,1.75215,2.13636,0.000845193,0.000845193,0.000845193
31,2767.11,1.28589,1.71182,1.66309,0.74701,0.47569,0.55436,0.26815,1.92027,1.73444,2.11616,0.000836027,0.000836027,0.000836027
32,2856.78,1.28606,1.6744,1.65615,0.626,0.50787,0.52024,0.22775,2.00421,1.94801,2.17434,0.000826862,0.000826862,0.000826862
33,2946.06,1.28013,1.65688,1.64808,0.64296,0.49627,0.52592,0.25007,1.92861,1.76473,2.15278,0.000817696,0.000817696,0.000817696
34,3035.28,1.27191,1.64916,1.64271,0.64237,0.48083,0.51551,0.23575,1.96503,1.76796,2.18858,0.00080853,0.00080853,0.00080853
35,3123.99,1.2658,1.64442,1.63965,0.67033,0.48243,0.56006,0.26806,1.87791,1.74055,2.12013,0.000799365,0.000799365,0.000799365
36,3213.39,1.26671,1.61923,1.62812,0.65976,0.55216,0.56559,0.28054,1.84374,1.65504,2.06511,0.000790199,0.000790199,0.000790199
37,3302.28,1.26121,1.60914,1.62944,0.70693,0.50526,0.58536,0.2701,1.94309,1.68118,2.12537,0.000781033,0.000781033,0.000781033
38,3391.13,1.24985,1.59481,1.61368,0.697,0.5305,0.56521,0.2886,1.77064,1.66761,2.00569,0.000771867,0.000771867,0.000771867
39,3480.03,1.24352,1.55803,1.61127,0.72269,0.56478,0.61138,0.30723,1.8217,1.59394,2.04426,0.000762702,0.000762702,0.000762702
40,3569.38,1.23015,1.53353,1.59547,0.72263,0.5452,0.60349,0.27455,1.92601,1.57754,2.09796,0.000753536,0.000753536,0.000753536
41,3658.98,1.23062,1.51416,1.59093,0.65936,0.54365,0.58485,0.29905,1.80877,1.5713,2.02853,0.00074437,0.00074437,0.00074437
42,3748.4,1.22468,1.51086,1.59063,0.69746,0.55987,0.59015,0.27387,1.88853,1.57485,2.10537,0.000735204,0.000735204,0.000735204
43,3837.82,1.22479,1.49761,1.58594,0.70422,0.54186,0.59183,0.27991,1.87936,1.61182,2.08159,0.000726038,0.000726038,0.000726038
44,3927.21,1.21532,1.48078,1.58136,0.68572,0.58076,0.59452,0.29254,1.84791,1.63246,2.06438,0.000716873,0.000716873,0.000716873
45,4015.95,1.21402,1.48653,1.58425,0.70088,0.54042,0.5934,0.29959,1.80427,1.49717,2.03251,0.000707707,0.000707707,0.000707707
46,4105.49,1.20568,1.45101,1.57331,0.76903,0.54126,0.618,0.29716,1.88895,1.50835,2.09801,0.000698541,0.000698541,0.000698541
47,4194.53,1.20176,1.43398,1.56613,0.70872,0.5753,0.60575,0.27464,1.94046,1.5345,2.10224,0.000689376,0.000689376,0.000689376
48,4284.36,1.17691,1.41719,1.54512,0.70938,0.57504,0.61952,0.31964,1.79583,1.53363,2.01501,0.00068021,0.00068021,0.00068021
49,4373.88,1.19807,1.44092,1.55513,0.79574,0.59402,0.66869,0.33912,1.81548,1.433,2.00611,0.000671044,0.000671044,0.000671044
50,4463.22,1.16334,1.38379,1.53884,0.78195,0.57626,0.65116,0.33727,1.80555,1.43813,2.00944,0.000661878,0.000661878,0.000661878
